!
!  Sample data from 1.2 metre UK Schmidt Telescope
!

UK Schmidt 1978 August 21
:EQUAT
-31 16 26  1978 8 21  5  885

*12476   14 44 03.0  -59 29 15  19 57
*1904    15 59 00.0  -52 12 21  20 03
*1916    16 05 26.0  -44 49 54  20 22
*13315   16 01 31.4  -18 07 30  20 32
*15009   18 41 07.6  -54 29 42  20 38
*16749   21 23 58.6  -63 56 48  20 43
*15001   18 40 07.0  -27 58 30  20 52
*14134   17 18 20.2  -02 44 18  20 57
*15059   18 44 44.0  -19 06 12  21 02
*16748   21 23 41.2  -55 30 36  21 17
*18460   00 02 25.0  -65 55 54  21 21
*123837  18 42 08.0  +06 11 36  21 38
*15885   20 01 34.0  -03 24 12  21 44
*17578   22 41 01.2  -39 11 12  21 50
*18581   01 27 13.0  -75 08 24  21 58
*156     01 19 38.3  -49 40 06  22 05
*17611   22 43 11.0  -14 43 12  22 12
*107082  21 21 45.0  +12 47 36  22 22
*18405   23 57 26.0  -24 16 57  22 31
*168     01 28 21.2  -41 56 12  22 45
*18804   04 04 17.0  -77 58 18  22 55
*5459    04 00 00.7  -52 13 54  23 00
*4622    02 43 04.0  -33 15 42  23 05
*3762    01 21 58.8  -16 40 18  23 11
*2894    00 03 32.6  +02 48 51  23 18
*108963  23 59 59.5  +10 30 12  23 31
*4609    02 42 24.8  -26 36 06  23 38
*6337    05 19 46.0  -61 11 36  23 51
*5457    04 00 00.0  -17 25 54  00 00
*092386  01 19 59.0  +18 11 18  00 05
*16711   21 19 36.7  -22 29 18  01 59
*18581   01 27 25.0  -75 08 00  02 11
*2893    00 03 35.0  -31 17 00  02 16
*168     01 28 25.3  -41 56 03  02 20
*18804   04 04 27.4  -77 57 12  02 24
*5459    04 00 06.0  -52 13 03  02 38
*3762    01 22 02.5  -16 40 12  02 43
*4609    02 42 28.2  -26 35 48  02 49
*6337    05 19 51.7  -61 10 36  02 54
*6362    05 22 29.0  -36 23 12  03 01
*4608    02 42 33.0  -00 26 18  03 05
*6347    05 21 41.8  -10 35 18  03 11

END
