0.3m Ceravolo, AP1600, Apache Ridge Observatory
:NODA
:EQUAT
30 33 16
15 32 37  -23 55 53  15 32 51.33  -23 54 20.4  15 33.23  WEST
18 09 16  -12 00 17  18 09 32.58  -11 59 41.0  15 34.02  WEST
17 17 50  -11 58 46  17 18 03.56  -11 57 52.3  15 34.49  WEST
16 26 22  -11 57 18  16 26 35.17  -11 56 02.9  15 35.0  WEST
19 03 35  -00 01 54  19 03 46.49  -00 01 12.9  15 36.26  WEST
18 12 10  -00 00 23  18 12 19.68  +00 00 26.3  15 36.73  WEST
19 58 27  +11 56 36  19 58 38.13  +11 57 28.7  15 39.23  WEST
19 07 10  +11 57 59  19 07 18.86  +11 58 52.4  15 39.71  WEST
18 15 41  +11 59 31  18 15 47.80  +12 00 28.8  15 40.2  WEST
17 24 11  +12 01 03  17 24 16.98  +12 02 14.0  15 40.69  WEST
16 32 42  +12 02 31  16 32 54.15  +12 04 05.3  15 41.32  WEST
15 41 12  +12 03 52  15 41 30.13  +12 05 58.5  15 41.95  WEST
20 01 58  +23 56 31  20 02 04.87  +23 57 28.8  15 42.68  WEST
19 10 43  +23 57 54  19 10 49.00  +23 58 48.9  15 43.2  WEST
18 19 12  +23 59 25  18 19 16.88  +24 00 22.8  15 43.7  WEST
17 27 42  +24 00 57  17 27 47.19  +24 02 05.4  15 44.19  WEST
16 36 11  +24 02 25  16 36 22.87  +24 03 56.5  15 44.81  WEST
15 44 42  +24 03 48  15 45 00.68  +24 05 48.3  15 45.53  WEST
20 57 31  +35 55 12  20 57 36.63  +35 55 47.6  15 46.3  WEST
20 06 21  +35 56 23  20 06 25.61  +35 56 43.4  15 46.82  WEST
19 14 53  +35 57 47  19 14 56.55  +35 57 56.0  15 47.35  WEST
18 23 24  +35 59 17  18 23 26.64  +35 59 22.1  15 47.84  WEST
17 31 55  +36 00 50  17 31 57.88  +36 01 08.7  15 48.35  WEST
16 40 25  +36 02 18  16 40 35.78  +36 02 56.8  15 49.0  WEST
15 48 53  +36 03 42  15 49 10.93  +36 04 43.9  15 49.85  WEST
21 01 53  +47 55 06  21 01 51.03  +47 54 53.7  15 50.44  WEST
19 44 41  +47 56 57  19 44 38.57  +47 56 16.2  15 51.05  WEST
18 27 14  +47 59 11  18 27 12.29  +47 58 17.9  15 51.6  WEST
17 09 45  +48 01 28  17 09 46.39  +48 00 50.0  15 52.18  WEST
22 22 49  +59 53 45  22 22 39.77  +59 54 20.5  15 53.35  WEST
21 05 50  +59 55 02  21 05 38.23  +59 54 49.9  15 54.05  WEST
19 48 31  +59 56 52  19 48 20.80  +59 56 06.3  15 54.75  WEST
18 31 07  +59 59 04  18 31 00.51  +59 55 36.1  15 55.4  WEST
22 52 30  +71 53 26  22 51 53.05  +71 54 16.6  15 56.56  WEST
21 09 49  +71 54 56  21 09 14.49  +71 54 38.3  15 57.73  WEST
19 26 47  +71 57 27  19 26 23.30  +71 53 11.0  15 58.87  WEST
14 17 32  +72 05 40  2 19 25.8  +107 24 6.7  16 3.89  EAST
12 33 31  +72 06 47  0 35 26.18  +107 42 43.0  16 3.91  EAST
10 49 30  +72 06 32  22 51 15.29  +107 28 29.0  16 3.66  EAST
END
