0.3m Ceravolo, AP1600, Apache Ridge Observatory
:NODA
:EQUAT
35 33 16

19  51 24.9   -10  00 19   19  52 03.9   -09  00 05   17.214  0
18  31 59.9   -09  57 24   18  33 59.9   -09  57 24   17.224  0
17  12 41.6   -09  54 12   17  13 41.6   -09  54 12   17.235  0
21  13 36.5   +09  57 54   21  14 36.5   +10  57 54   17.252  0
19  54 23.2   +10  00 04   19  55 23.2   +10  00 04   17.262  0
18  34 56.6   +10  02 49   18  35 56.6   +10  02 49   17.275  0
17  15 54.4   +10  05 55   17  16 54.4   +10  05 55   17.284  0
21  16 37.1   +29  57 26   21  17 37.1   +30  57 26   17.304  0
19  57 35.2   +29  59 26   19  58 35.2   +30  59 26   17.313  0
18  38 11.4   +30  02 04   18  38 11.4   +30  02 04   17.325  0
17  19 06.4   +30  05 08   17  19 06.4   +30  05 08   17.334  0
21  19 39.4   +49  54 48   21  20 39.4   +50  54 48   17.354  0 
19  20 48.3   +49  57 52   19  21 48.3   +50  57 52   17.365  0
17  21 44.2   +50  02 18   17  22 44.2   +50  02 18   17.380  0
22  41 51.7   +69  53 30   22  42 51.7   +69  53 30   17.394  0
20  03 26.3   +69  56 07   20  03 26.3   +69  56 07   17.407  0
17  24 52.2   +70  01 48   17  24 52.2   +70  01 48   17.418  0

END
